year,new_fraction,chaperoned_fraction,established_fraction
1990,0.588,0.155,0.257
1991,0.536,0.143,0.321
1992,0.604,0.168,0.227
1993,0.453,0.184,0.363
1994,0.410,0.203,0.387
1995,0.395,0.236,0.369
1996,0.349,0.243,0.409
1997,0.264,0.212,0.524
1998,0.328,0.191,0.481
1999,0.290,0.198,0.512
2000,0.329,0.198,0.473
2001,0.240,0.240,0.520
2002,0.276,0.178,0.546
2003,0.172,0.193,0.634
2004,0.208,0.242,0.551
2005,0.238,0.238,0.524
2006,0.283,0.250,0.467
2007,0.180,0.243,0.578
2008,0.290,0.240,0.470
2009,0.309,0.180,0.511
2010,0.205,0.239,0.557
2011,0.283,0.272,0.444
2012,0.290,0.244,0.465
