year,new_fraction,chaperoned_fraction,established_fraction
1990,0.269,0.140,0.591
1991,0.291,0.142,0.566
1992,0.263,0.162,0.575
1993,0.242,0.136,0.622
1994,0.263,0.156,0.581
1995,0.281,0.147,0.573
1996,0.280,0.160,0.560
1997,0.279,0.155,0.566
1998,0.306,0.162,0.532
1999,0.274,0.171,0.555
2000,0.307,0.172,0.521
2001,0.310,0.235,0.455
2002,0.292,0.178,0.530
2003,0.326,0.176,0.499
2004,0.342,0.166,0.492
2005,0.327,0.188,0.485
2006,0.314,0.198,0.488
2007,0.346,0.207,0.447
2008,0.299,0.208,0.494
2009,0.314,0.204,0.481
2010,0.311,0.163,0.526
2011,0.357,0.182,0.462
2012,0.356,0.213,0.431
