year,new_fraction,chaperoned_fraction,established_fraction
1990,0.605,0.113,0.282
1991,0.824,0.061,0.115
1992,0.710,0.088,0.202
1993,0.693,0.091,0.216
1994,0.453,0.129,0.419
1995,0.424,0.114,0.461
1996,0.373,0.126,0.501
1997,0.484,0.101,0.415
1998,0.386,0.092,0.522
1999,0.634,0.134,0.233
2000,0.655,0.102,0.243
2001,0.652,0.127,0.222
2002,0.699,0.080,0.221
2003,0.623,0.133,0.244
2004,0.633,0.108,0.259
2005,0.584,0.125,0.292
2006,0.619,0.136,0.245
2007,0.629,0.124,0.247
2008,0.623,0.127,0.250
2009,0.617,0.129,0.254
2010,0.577,0.104,0.319
2011,0.498,0.151,0.350
2012,0.526,0.124,0.351
