year,new_fraction,chaperoned_fraction,established_fraction
1990,0.155,0.132,0.713
1991,0.157,0.131,0.711
1992,0.157,0.147,0.695
1993,0.126,0.151,0.723
1994,0.133,0.137,0.730
1995,0.115,0.148,0.738
1996,0.121,0.138,0.741
1997,0.124,0.147,0.730
1998,0.135,0.137,0.728
1999,0.119,0.142,0.739
2000,0.114,0.147,0.739
2001,0.128,0.138,0.734
2002,0.109,0.133,0.757
2003,0.129,0.143,0.728
2004,0.106,0.148,0.746
2005,0.129,0.151,0.720
2006,0.092,0.148,0.760
2007,0.114,0.131,0.755
2008,0.113,0.145,0.743
2009,0.112,0.164,0.723
2010,0.097,0.164,0.739
2011,0.105,0.149,0.746
2012,0.103,0.129,0.768
