year,new_fraction,chaperoned_fraction,established_fraction
1990,0.335,0.147,0.518
1991,0.346,0.142,0.512
1992,0.343,0.157,0.500
1993,0.300,0.140,0.560
1994,0.285,0.161,0.555
1995,0.321,0.150,0.529
1996,0.288,0.123,0.589
1997,0.260,0.139,0.601
1998,0.277,0.157,0.566
1999,0.301,0.106,0.593
2000,0.254,0.137,0.609
2001,0.225,0.153,0.621
2002,0.256,0.151,0.593
2003,0.241,0.149,0.610
2004,0.254,0.142,0.604
2005,0.257,0.148,0.595
2006,0.246,0.154,0.600
2007,0.251,0.151,0.599
2008,0.216,0.166,0.618
2009,0.215,0.142,0.643
2010,0.211,0.150,0.639
2011,0.217,0.158,0.625
2012,0.194,0.166,0.640
