year,new_fraction,chaperoned_fraction,established_fraction
1990,0.218,0.161,0.621
1991,0.211,0.180,0.609
1992,0.228,0.185,0.587
1993,0.263,0.136,0.601
1994,0.175,0.214,0.611
1995,0.206,0.152,0.642
1996,0.215,0.169,0.615
1997,0.187,0.185,0.628
1998,0.223,0.155,0.622
1999,0.249,0.160,0.590
2000,0.230,0.190,0.580
2001,0.244,0.194,0.562
2002,0.251,0.182,0.567
2003,0.236,0.196,0.568
2004,0.179,0.232,0.589
2005,0.201,0.170,0.628
2006,0.219,0.217,0.564
2007,0.261,0.218,0.520
2008,0.238,0.183,0.578
2009,0.198,0.201,0.601
2010,0.229,0.174,0.598
2011,0.188,0.176,0.635
2012,0.237,0.206,0.558
