year,new_fraction,chaperoned_fraction,established_fraction
1990,0.860,0.023,0.116
1991,0.869,0.033,0.098
1992,0.848,0.045,0.106
1993,0.825,0.072,0.103
1994,0.769,0.069,0.162
1995,0.757,0.058,0.185
1996,0.698,0.121,0.181
1997,0.681,0.108,0.211
1998,0.732,0.089,0.178
1999,0.675,0.104,0.221
2000,0.697,0.119,0.184
2001,0.650,0.107,0.243
2002,0.664,0.164,0.171
2003,0.667,0.148,0.186
2004,0.632,0.126,0.241
2005,0.656,0.158,0.187
2006,0.582,0.136,0.283
2007,0.570,0.152,0.279
2008,0.609,0.115,0.276
2009,0.559,0.106,0.335
2010,0.558,0.171,0.271
2011,0.584,0.124,0.292
2012,0.525,0.169,0.305
