year,new_fraction,chaperoned_fraction,established_fraction
1990,,,
1991,,,
1992,,,
1993,,,
1994,,,
1995,0.950,0.025,0.025
1996,0.736,0.151,0.113
1997,0.798,0.083,0.119
1998,0.580,0.170,0.250
1999,0.662,0.165,0.173
2000,0.500,0.222,0.278
2001,0.471,0.229,0.301
2002,0.433,0.201,0.366
2003,0.390,0.208,0.403
2004,0.491,0.205,0.304
2005,0.356,0.237,0.407
2006,0.488,0.199,0.313
2007,0.398,0.244,0.358
2008,0.411,0.188,0.401
2009,0.358,0.257,0.385
2010,0.388,0.260,0.352
2011,0.316,0.228,0.456
2012,0.385,0.239,0.376
