year,new_fraction,chaperoned_fraction,established_fraction
1990,0.283,0.169,0.548
1991,0.278,0.150,0.573
1992,0.269,0.184,0.547
1993,0.257,0.173,0.570
1994,0.259,0.190,0.551
1995,0.273,0.175,0.552
1996,0.250,0.198,0.551
1997,0.251,0.195,0.554
1998,0.277,0.179,0.544
1999,0.263,0.191,0.546
2000,0.266,0.196,0.538
2001,0.293,0.198,0.509
2002,0.269,0.212,0.519
2003,0.314,0.229,0.457
2004,0.305,0.222,0.473
2005,0.323,0.205,0.472
2006,0.294,0.216,0.489
2007,0.331,0.209,0.460
2008,0.259,0.229,0.512
2009,0.285,0.220,0.495
2010,0.328,0.222,0.450
2011,0.334,0.206,0.460
2012,0.306,0.261,0.433
