year,new_fraction,chaperoned_fraction,established_fraction
1990,0.317,0.115,0.569
1991,0.311,0.092,0.598
1992,0.288,0.102,0.609
1993,0.303,0.148,0.549
1994,0.306,0.133,0.561
1995,0.318,0.115,0.567
1996,0.277,0.127,0.596
1997,0.310,0.119,0.571
1998,0.297,0.143,0.560
1999,0.364,0.090,0.546
2000,0.252,0.150,0.598
2001,0.243,0.158,0.599
2002,0.280,0.114,0.606
2003,0.262,0.142,0.596
2004,0.245,0.153,0.603
2005,0.253,0.147,0.600
2006,0.285,0.151,0.564
2007,0.249,0.174,0.578
2008,0.282,0.166,0.552
2009,0.239,0.150,0.612
2010,0.245,0.151,0.604
2011,0.216,0.134,0.649
2012,0.173,0.162,0.664
