year,new_fraction,chaperoned_fraction,established_fraction
1990,,,
1991,,,
1992,,,
1993,,,
1994,,,
1995,0.882,0.059,0.059
1996,0.774,0.089,0.137
1997,0.632,0.104,0.264
1998,0.524,0.135,0.341
1999,0.614,0.152,0.235
2000,0.578,0.103,0.319
2001,0.520,0.140,0.340
2002,0.507,0.177,0.315
2003,0.448,0.162,0.390
2004,0.350,0.150,0.500
2005,0.388,0.194,0.418
2006,0.407,0.168,0.425
2007,0.376,0.183,0.442
2008,0.373,0.189,0.438
2009,0.335,0.245,0.421
2010,0.324,0.194,0.482
2011,0.284,0.264,0.452
2012,0.315,0.218,0.466
