year,new_fraction,chaperoned_fraction,established_fraction
1990,0.113,0.138,0.749
1991,0.097,0.119,0.784
1992,0.117,0.143,0.740
1993,0.129,0.110,0.761
1994,0.139,0.147,0.713
1995,0.148,0.132,0.720
1996,0.137,0.140,0.723
1997,0.101,0.138,0.761
1998,0.143,0.190,0.668
1999,0.124,0.118,0.759
2000,0.138,0.135,0.727
2001,0.156,0.156,0.687
2002,0.168,0.148,0.684
2003,0.166,0.161,0.673
2004,0.212,0.161,0.627
2005,0.186,0.175,0.639
2006,0.212,0.152,0.636
2007,0.213,0.169,0.617
2008,0.257,0.156,0.587
2009,0.218,0.176,0.606
2010,0.195,0.184,0.621
2011,0.252,0.147,0.601
2012,0.118,0.218,0.664
