year,new_fraction,chaperoned_fraction,established_fraction
1990,0.147,0.147,0.706
1991,0.138,0.155,0.707
1992,0.139,0.157,0.704
1993,0.131,0.147,0.722
1994,0.132,0.161,0.707
1995,0.150,0.159,0.691
1996,0.130,0.161,0.708
1997,0.117,0.165,0.719
1998,0.140,0.160,0.701
1999,0.121,0.167,0.712
2000,0.124,0.163,0.714
2001,0.120,0.169,0.711
2002,0.113,0.166,0.722
2003,0.105,0.173,0.723
2004,0.092,0.175,0.733
2005,0.091,0.164,0.744
2006,0.086,0.167,0.747
2007,0.087,0.178,0.736
2008,0.077,0.173,0.750
2009,0.073,0.170,0.757
2010,0.081,0.194,0.725
2011,0.081,0.196,0.723
2012,0.078,0.185,0.737
