year,new_fraction,chaperoned_fraction,established_fraction
1990,0.880,0.000,0.120
1991,0.725,0.100,0.175
1992,0.750,0.050,0.200
1993,0.667,0.071,0.262
1994,0.762,0.048,0.190
1995,0.659,0.114,0.227
1996,0.684,0.123,0.193
1997,0.596,0.128,0.277
1998,0.526,0.053,0.421
1999,0.610,0.114,0.276
2000,0.650,0.130,0.220
2001,0.490,0.083,0.427
2002,0.509,0.139,0.352
2003,0.533,0.133,0.333
2004,0.538,0.154,0.308
2005,0.433,0.172,0.395
2006,0.432,0.135,0.432
2007,0.416,0.155,0.429
2008,0.432,0.142,0.426
2009,0.398,0.165,0.438
2010,0.361,0.141,0.498
2011,0.339,0.138,0.524
2012,0.338,0.198,0.464
