year,new_fraction,chaperoned_fraction,established_fraction
1990,0.279,0.155,0.566
1991,0.258,0.171,0.571
1992,0.238,0.159,0.603
1993,0.269,0.152,0.580
1994,0.242,0.173,0.584
1995,0.226,0.167,0.606
1996,0.249,0.171,0.580
1997,0.211,0.194,0.595
1998,0.254,0.166,0.580
1999,0.239,0.191,0.569
2000,0.273,0.169,0.558
2001,0.267,0.152,0.580
2002,0.241,0.180,0.578
2003,0.251,0.171,0.578
2004,0.216,0.216,0.569
2005,0.218,0.205,0.577
2006,0.239,0.183,0.578
2007,0.218,0.226,0.556
2008,0.274,0.198,0.528
2009,0.219,0.205,0.576
2010,0.241,0.195,0.564
2011,0.259,0.196,0.545
2012,0.191,0.210,0.599
