year,new_fraction,chaperoned_fraction,established_fraction
1990,0.208,0.166,0.626
1991,0.291,0.096,0.613
1992,0.234,0.128,0.638
1993,0.257,0.159,0.584
1994,0.256,0.123,0.621
1995,0.261,0.104,0.635
1996,0.209,0.134,0.658
1997,0.223,0.115,0.662
1998,0.229,0.124,0.647
1999,0.214,0.132,0.654
2000,0.201,0.118,0.681
2001,0.185,0.130,0.685
2002,0.173,0.142,0.684
2003,0.157,0.159,0.684
2004,0.139,0.150,0.711
2005,0.157,0.142,0.701
2006,0.176,0.146,0.677
2007,0.153,0.160,0.687
2008,0.138,0.157,0.705
2009,0.160,0.149,0.691
2010,0.170,0.168,0.662
2011,0.166,0.138,0.696
2012,0.153,0.151,0.696
