year,new_fraction,chaperoned_fraction,established_fraction
1990,0.291,0.148,0.560
1991,0.320,0.154,0.526
1992,0.298,0.177,0.525
1993,0.293,0.160,0.546
1994,0.319,0.139,0.541
1995,0.286,0.177,0.538
1996,0.266,0.156,0.578
1997,0.246,0.178,0.577
1998,0.242,0.163,0.595
1999,0.236,0.179,0.584
2000,0.231,0.169,0.601
2001,0.206,0.181,0.613
2002,0.191,0.164,0.645
2003,0.188,0.182,0.630
2004,0.170,0.195,0.635
2005,0.150,0.200,0.650
2006,0.167,0.184,0.649
2007,0.167,0.197,0.636
2008,0.127,0.189,0.684
2009,0.140,0.188,0.672
2010,0.119,0.197,0.684
2011,0.120,0.185,0.695
2012,0.107,0.183,0.709
