year,new_fraction,chaperoned_fraction,established_fraction
1990,0.933,0.040,0.027
1991,0.741,0.052,0.207
1992,0.618,0.109,0.273
1993,0.560,0.140,0.300
1994,0.617,0.085,0.298
1995,0.585,0.208,0.208
1996,0.476,0.155,0.369
1997,0.475,0.152,0.374
1998,0.691,0.073,0.236
1999,0.508,0.158,0.333
2000,0.521,0.137,0.342
2001,0.505,0.143,0.352
2002,0.422,0.137,0.441
2003,0.476,0.087,0.437
2004,0.515,0.142,0.343
2005,0.415,0.127,0.458
2006,0.441,0.106,0.453
2007,0.383,0.145,0.472
2008,0.391,0.122,0.487
2009,0.468,0.136,0.396
2010,0.468,0.144,0.388
2011,0.441,0.158,0.401
2012,0.350,0.188,0.462
