year,new_fraction,chaperoned_fraction,established_fraction
1990,0.500,0.104,0.396
1991,0.588,0.062,0.350
1992,0.535,0.081,0.384
1993,0.550,0.095,0.355
1994,0.488,0.094,0.418
1995,0.571,0.110,0.319
1996,0.453,0.062,0.484
1997,0.509,0.091,0.400
1998,0.527,0.094,0.379
1999,0.441,0.095,0.464
2000,0.502,0.090,0.408
2001,0.556,0.081,0.363
2002,0.465,0.116,0.419
2003,0.465,0.093,0.442
2004,0.495,0.108,0.397
2005,0.474,0.053,0.474
2006,0.470,0.121,0.409
2007,0.506,0.099,0.395
2008,0.512,0.112,0.376
2009,0.471,0.139,0.389
2010,0.499,0.138,0.363
2011,0.465,0.152,0.382
2012,0.443,0.180,0.377
