year,new_fraction,chaperoned_fraction,established_fraction
1990,0.180,0.132,0.688
1991,0.150,0.150,0.700
1992,0.151,0.111,0.738
1993,0.134,0.139,0.727
1994,0.138,0.157,0.705
1995,0.139,0.143,0.718
1996,0.132,0.155,0.713
1997,0.134,0.148,0.719
1998,0.137,0.149,0.714
1999,0.114,0.139,0.747
2000,0.115,0.142,0.744
2001,0.105,0.146,0.749
2002,0.106,0.146,0.748
2003,0.092,0.121,0.787
2004,0.085,0.130,0.786
2005,0.086,0.148,0.767
2006,0.073,0.137,0.790
2007,0.078,0.123,0.799
2008,0.076,0.125,0.799
2009,0.065,0.124,0.811
2010,0.066,0.141,0.793
2011,0.073,0.145,0.782
2012,0.097,0.178,0.725
