year,new_fraction,chaperoned_fraction,established_fraction
1990,0.489,0.044,0.467
1991,0.438,0.094,0.469
1992,0.512,0.140,0.349
1993,0.532,0.074,0.394
1994,0.495,0.140,0.366
1995,0.427,0.077,0.496
1996,0.493,0.125,0.382
1997,0.432,0.123,0.445
1998,0.439,0.150,0.412
1999,0.444,0.106,0.450
2000,0.421,0.134,0.446
2001,0.368,0.123,0.510
2002,0.313,0.147,0.540
2003,0.323,0.131,0.546
2004,0.346,0.143,0.511
2005,0.363,0.162,0.475
2006,0.346,0.139,0.515
2007,0.278,0.183,0.539
2008,0.353,0.152,0.494
2009,0.340,0.174,0.486
2010,0.287,0.155,0.558
2011,0.301,0.193,0.507
2012,0.265,0.177,0.558
