year,new_fraction,chaperoned_fraction,established_fraction
1990,0.229,0.218,0.553
1991,0.247,0.117,0.636
1992,0.213,0.131,0.656
1993,0.234,0.195,0.570
1994,0.272,0.106,0.623
1995,0.198,0.145,0.656
1996,0.172,0.124,0.703
1997,0.239,0.123,0.638
1998,0.196,0.138,0.667
1999,0.281,0.102,0.617
2000,0.302,0.163,0.535
2001,0.286,0.176,0.538
2002,0.198,0.127,0.675
2003,0.204,0.080,0.717
2004,0.173,0.073,0.755
2005,0.189,0.108,0.703
2006,0.252,0.139,0.609
2007,0.209,0.127,0.664
2008,0.297,0.144,0.559
2009,0.267,0.129,0.603
2010,0.304,0.139,0.557
2011,0.252,0.117,0.631
2012,0.253,0.138,0.609
