year,new_fraction,chaperoned_fraction,established_fraction
1990,0.562,0.118,0.320
1991,0.519,0.118,0.364
1992,0.444,0.125,0.431
1993,0.440,0.134,0.426
1994,0.322,0.140,0.538
1995,0.296,0.189,0.515
1996,0.283,0.150,0.567
1997,0.248,0.202,0.550
1998,0.354,0.118,0.529
1999,0.304,0.156,0.541
2000,0.281,0.157,0.562
2001,0.243,0.163,0.594
2002,0.272,0.151,0.577
2003,0.242,0.157,0.601
2004,0.301,0.163,0.536
2005,0.255,0.142,0.603
2006,0.235,0.176,0.588
2007,0.231,0.213,0.556
2008,0.199,0.144,0.656
2009,0.156,0.193,0.651
2010,0.213,0.183,0.605
2011,0.171,0.180,0.648
2012,0.180,0.239,0.580
