year,new_fraction,chaperoned_fraction,established_fraction
1990,0.288,0.172,0.540
1991,0.304,0.159,0.537
1992,0.304,0.146,0.550
1993,0.303,0.180,0.518
1994,0.258,0.171,0.571
1995,0.281,0.172,0.547
1996,0.259,0.167,0.574
1997,0.272,0.151,0.577
1998,0.288,0.154,0.558
1999,0.225,0.163,0.612
2000,0.234,0.163,0.604
2001,0.291,0.170,0.539
2002,0.280,0.172,0.549
2003,0.273,0.206,0.522
2004,0.277,0.177,0.547
2005,0.259,0.169,0.571
2006,0.256,0.171,0.573
2007,0.231,0.194,0.575
2008,0.239,0.180,0.582
2009,0.232,0.195,0.573
2010,0.250,0.187,0.564
2011,0.197,0.196,0.607
2012,0.222,0.196,0.582
