year,new_fraction,chaperoned_fraction,established_fraction
1990,0.269,0.159,0.572
1991,0.245,0.127,0.629
1992,0.234,0.114,0.651
1993,0.244,0.135,0.621
1994,0.215,0.139,0.646
1995,0.237,0.124,0.639
1996,0.215,0.155,0.630
1997,0.232,0.144,0.624
1998,0.236,0.123,0.641
1999,0.210,0.132,0.658
2000,0.188,0.190,0.622
2001,0.243,0.158,0.599
2002,0.247,0.122,0.631
2003,0.216,0.151,0.633
2004,0.316,0.145,0.539
2005,0.285,0.189,0.526
2006,0.237,0.176,0.587
2007,0.285,0.209,0.507
2008,0.231,0.210,0.559
2009,0.272,0.144,0.584
2010,0.260,0.182,0.558
2011,0.265,0.196,0.538
2012,0.233,0.151,0.616
