year,new_fraction,chaperoned_fraction,established_fraction
1990,0.201,0.144,0.655
1991,0.230,0.122,0.648
1992,0.184,0.124,0.692
1993,0.177,0.134,0.689
1994,0.215,0.135,0.650
1995,0.216,0.156,0.628
1996,0.197,0.151,0.652
1997,0.162,0.161,0.677
1998,0.214,0.108,0.678
1999,0.181,0.183,0.637
2000,0.221,0.151,0.628
2001,0.218,0.166,0.616
2002,0.223,0.167,0.610
2003,0.198,0.156,0.646
2004,0.202,0.202,0.596
2005,0.169,0.217,0.614
2006,0.181,0.184,0.635
2007,0.185,0.234,0.581
2008,0.169,0.220,0.611
2009,0.152,0.216,0.631
2010,0.130,0.201,0.669
2011,0.163,0.192,0.646
2012,0.128,0.200,0.672
