year,new_fraction,chaperoned_fraction,established_fraction
1990,,,
1991,,,
1992,,,
1993,0.960,0.000,0.040
1994,0.741,0.045,0.214
1995,0.563,0.133,0.304
1996,0.611,0.035,0.354
1997,0.469,0.119,0.413
1998,0.479,0.132,0.389
1999,0.420,0.182,0.398
2000,0.410,0.132,0.458
2001,0.424,0.216,0.360
2002,0.382,0.124,0.494
2003,0.351,0.149,0.500
2004,0.313,0.184,0.502
2005,0.317,0.162,0.521
2006,0.333,0.170,0.497
2007,0.326,0.149,0.525
2008,0.308,0.110,0.581
2009,0.327,0.107,0.567
2010,0.253,0.140,0.607
2011,0.312,0.197,0.491
2012,0.356,0.167,0.477
