year,new_fraction,chaperoned_fraction,established_fraction
1990,0.457,0.115,0.428
1991,0.487,0.092,0.421
1992,0.393,0.110,0.497
1993,0.425,0.125,0.449
1994,0.375,0.114,0.512
1995,0.379,0.133,0.488
1996,0.338,0.147,0.515
1997,0.340,0.134,0.526
1998,0.403,0.118,0.478
1999,0.348,0.105,0.547
2000,0.318,0.132,0.550
2001,0.324,0.138,0.538
2002,0.356,0.135,0.509
2003,0.383,0.146,0.470
2004,0.371,0.158,0.470
2005,0.291,0.171,0.537
2006,0.357,0.155,0.489
2007,0.311,0.171,0.518
2008,0.325,0.160,0.514
2009,0.299,0.190,0.511
2010,0.305,0.183,0.511
2011,0.304,0.190,0.506
2012,0.292,0.177,0.531
