year,new_fraction,chaperoned_fraction,established_fraction
1990,0.940,0.030,0.030
1991,0.778,0.019,0.204
1992,0.620,0.089,0.291
1993,0.648,0.085,0.268
1994,0.472,0.112,0.416
1995,0.553,0.118,0.329
1996,0.571,0.169,0.260
1997,0.554,0.130,0.315
1998,0.586,0.162,0.253
1999,0.566,0.101,0.333
2000,0.652,0.078,0.270
2001,0.454,0.092,0.454
2002,0.417,0.185,0.398
2003,0.482,0.129,0.388
2004,0.497,0.106,0.397
2005,0.412,0.123,0.465
2006,0.384,0.144,0.472
2007,0.471,0.130,0.399
2008,0.380,0.150,0.470
2009,0.603,0.154,0.244
2010,0.474,0.073,0.453
2011,0.520,0.160,0.320
2012,0.480,0.150,0.370
