year,new_fraction,chaperoned_fraction,established_fraction
1990,0.236,0.079,0.686
1991,0.222,0.071,0.706
1992,0.376,0.056,0.568
1993,0.220,0.055,0.724
1994,0.232,0.091,0.677
1995,0.328,0.051,0.620
1996,0.249,0.085,0.667
1997,0.218,0.082,0.700
1998,0.271,0.035,0.694
1999,0.270,0.079,0.651
2000,0.277,0.103,0.619
2001,0.439,0.122,0.439
2002,0.500,0.087,0.413
2003,0.476,0.112,0.412
2004,0.430,0.101,0.469
2005,0.514,0.090,0.396
2006,0.527,0.107,0.366
2007,0.554,0.068,0.378
2008,0.476,0.131,0.393
2009,0.493,0.100,0.407
2010,0.498,0.100,0.403
2011,0.444,0.169,0.386
2012,0.422,0.189,0.389
