year,new_fraction,chaperoned_fraction,established_fraction
1990,0.810,0.086,0.103
1991,0.780,0.060,0.160
1992,0.662,0.108,0.231
1993,0.695,0.034,0.271
1994,0.615,0.092,0.292
1995,0.489,0.128,0.383
1996,0.429,0.243,0.329
1997,0.582,0.165,0.253
1998,0.566,0.075,0.358
1999,0.537,0.100,0.362
2000,0.486,0.122,0.392
2001,0.423,0.103,0.474
2002,0.402,0.183,0.415
2003,0.481,0.195,0.325
2004,0.352,0.144,0.504
2005,0.519,0.096,0.385
2006,0.382,0.101,0.517
2007,0.514,0.097,0.389
2008,0.406,0.102,0.492
2009,0.379,0.155,0.466
2010,0.470,0.151,0.378
2011,0.384,0.116,0.500
2012,0.358,0.170,0.472
