year,new_fraction,chaperoned_fraction,established_fraction
1990,,,
1991,0.828,0.038,0.134
1992,0.698,0.098,0.204
1993,0.600,0.130,0.270
1994,0.481,0.139,0.379
1995,0.483,0.150,0.366
1996,0.452,0.176,0.372
1997,0.429,0.173,0.398
1998,0.368,0.172,0.460
1999,0.377,0.183,0.440
2000,0.375,0.179,0.445
2001,0.311,0.194,0.495
2002,0.283,0.184,0.533
2003,0.270,0.206,0.523
2004,0.274,0.198,0.528
2005,0.269,0.197,0.534
2006,0.241,0.218,0.541
2007,0.239,0.210,0.551
2008,0.208,0.217,0.575
2009,0.219,0.195,0.586
2010,0.194,0.211,0.595
2011,0.191,0.200,0.609
2012,0.184,0.216,0.600
