year,new_fraction,chaperoned_fraction,established_fraction
1990,,,
1991,,,
1992,,,
1993,,,
1994,,,
1995,0.892,0.036,0.072
1996,0.781,0.056,0.163
1997,0.636,0.086,0.277
1998,0.629,0.079,0.293
1999,0.558,0.144,0.298
2000,0.464,0.132,0.404
2001,0.434,0.149,0.417
2002,0.478,0.139,0.383
2003,0.411,0.171,0.418
2004,0.379,0.189,0.432
2005,0.387,0.154,0.459
2006,0.349,0.157,0.495
2007,0.337,0.200,0.463
2008,0.300,0.163,0.538
2009,0.284,0.162,0.554
2010,0.263,0.193,0.543
2011,0.229,0.186,0.585
2012,0.245,0.191,0.564
