year,new_fraction,chaperoned_fraction,established_fraction
1990,0.094,0.127,0.780
1991,0.105,0.110,0.786
1992,0.110,0.109,0.781
1993,0.112,0.125,0.763
1994,0.135,0.104,0.761
1995,0.131,0.111,0.758
1996,0.127,0.112,0.761
1997,0.163,0.130,0.707
1998,0.150,0.119,0.730
1999,0.144,0.113,0.743
2000,0.166,0.100,0.734
2001,0.119,0.121,0.760
2002,0.151,0.149,0.700
2003,0.155,0.104,0.741
2004,0.172,0.139,0.690
2005,0.144,0.135,0.721
2006,0.168,0.143,0.689
2007,0.150,0.162,0.688
2008,0.155,0.124,0.720
2009,0.142,0.144,0.714
2010,0.157,0.160,0.683
2011,0.130,0.136,0.734
2012,0.214,0.154,0.632
