year,new_fraction,chaperoned_fraction,established_fraction
1990,0.831,0.025,0.144
1991,0.688,0.094,0.219
1992,0.623,0.092,0.285
1993,0.556,0.124,0.320
1994,0.506,0.116,0.378
1995,0.461,0.120,0.419
1996,0.450,0.137,0.412
1997,0.397,0.129,0.474
1998,0.416,0.143,0.441
1999,0.374,0.142,0.484
2000,0.341,0.129,0.530
2001,0.326,0.171,0.502
2002,0.332,0.184,0.485
2003,0.311,0.149,0.540
2004,0.319,0.148,0.533
2005,0.285,0.170,0.544
2006,0.255,0.155,0.590
2007,0.256,0.171,0.573
2008,0.227,0.166,0.606
2009,0.149,0.173,0.678
2010,0.182,0.179,0.639
2011,0.172,0.174,0.654
2012,0.179,0.170,0.651
