year,new_fraction,chaperoned_fraction,established_fraction
1990,0.281,0.096,0.623
1991,0.388,0.110,0.502
1992,0.390,0.132,0.478
1993,0.316,0.098,0.586
1994,0.282,0.123,0.595
1995,0.343,0.137,0.520
1996,0.342,0.070,0.588
1997,0.277,0.096,0.627
1998,0.348,0.092,0.560
1999,0.394,0.109,0.497
2000,0.276,0.125,0.599
2001,0.359,0.125,0.516
2002,0.514,0.063,0.423
2003,0.497,0.101,0.403
2004,0.459,0.082,0.459
2005,0.361,0.107,0.533
2006,0.330,0.064,0.606
2007,0.458,0.144,0.398
2008,0.320,0.160,0.520
2009,0.374,0.159,0.467
2010,0.524,0.119,0.357
2011,0.366,0.145,0.489
2012,,,
