year,new_fraction,chaperoned_fraction,established_fraction
1990,0.423,0.130,0.447
1991,0.450,0.141,0.409
1992,0.339,0.153,0.508
1993,0.348,0.161,0.491
1994,0.473,0.085,0.443
1995,0.358,0.122,0.520
1996,0.420,0.122,0.459
1997,0.414,0.178,0.408
1998,0.415,0.122,0.463
1999,0.370,0.216,0.414
2000,0.441,0.108,0.452
2001,0.387,0.118,0.495
2002,0.304,0.176,0.520
2003,0.345,0.155,0.500
2004,0.387,0.161,0.452
2005,0.426,0.113,0.461
2006,0.386,0.163,0.451
2007,0.405,0.148,0.447
2008,0.397,0.128,0.474
2009,0.385,0.148,0.467
2010,0.358,0.157,0.485
2011,0.278,0.151,0.571
2012,0.325,0.154,0.522
