year,new_fraction,chaperoned_fraction,established_fraction
1990,0.455,0.170,0.375
1991,0.462,0.165,0.374
1992,0.517,0.138,0.345
1993,0.484,0.118,0.398
1994,0.543,0.123,0.333
1995,0.622,0.079,0.299
1996,0.526,0.190,0.284
1997,0.449,0.204,0.347
1998,0.473,0.165,0.363
1999,0.443,0.226,0.330
2000,0.467,0.181,0.352
2001,0.494,0.195,0.310
2002,0.490,0.214,0.296
2003,0.513,0.133,0.354
2004,0.522,0.226,0.252
2005,0.468,0.184,0.348
2006,0.537,0.164,0.299
2007,0.553,0.161,0.286
2008,0.432,0.199,0.370
2009,0.490,0.174,0.337
2010,0.457,0.193,0.350
2011,0.379,0.185,0.436
2012,0.368,0.182,0.451
