year,new_fraction,chaperoned_fraction,established_fraction
1990,0.196,0.091,0.713
1991,0.272,0.108,0.621
1992,0.265,0.085,0.651
1993,0.231,0.088,0.681
1994,0.259,0.104,0.637
1995,0.108,0.089,0.803
1996,0.216,0.079,0.705
1997,0.271,0.113,0.616
1998,0.246,0.128,0.626
1999,0.295,0.111,0.595
2000,0.322,0.088,0.590
2001,0.432,0.108,0.460
2002,0.437,0.129,0.434
2003,0.358,0.099,0.543
2004,0.291,0.097,0.612
2005,0.418,0.114,0.468
2006,0.352,0.134,0.513
2007,0.310,0.117,0.573
2008,0.289,0.122,0.589
2009,0.386,0.117,0.496
2010,0.293,0.161,0.546
2011,0.346,0.135,0.519
2012,0.335,0.156,0.509
