year,new_fraction,chaperoned_fraction,established_fraction
1990,0.387,0.125,0.487
1991,0.388,0.128,0.483
1992,0.380,0.121,0.499
1993,0.363,0.116,0.521
1994,0.349,0.138,0.513
1995,0.367,0.134,0.499
1996,0.344,0.138,0.518
1997,0.330,0.150,0.520
1998,0.320,0.127,0.553
1999,0.307,0.137,0.556
2000,0.308,0.149,0.543
2001,0.278,0.141,0.581
2002,0.273,0.142,0.584
2003,0.272,0.146,0.582
2004,0.266,0.144,0.590
2005,0.264,0.153,0.583
2006,0.257,0.173,0.570
2007,0.262,0.154,0.584
2008,0.259,0.166,0.575
2009,0.241,0.177,0.582
2010,0.259,0.169,0.572
2011,0.277,0.166,0.556
2012,0.237,0.155,0.608
