year,new_fraction,chaperoned_fraction,established_fraction
1990,0.235,0.129,0.636
1991,0.217,0.129,0.654
1992,0.240,0.103,0.658
1993,0.225,0.117,0.658
1994,0.195,0.136,0.670
1995,0.199,0.104,0.697
1996,0.183,0.149,0.668
1997,0.200,0.147,0.653
1998,0.170,0.101,0.729
1999,0.207,0.100,0.693
2000,0.192,0.113,0.695
2001,0.149,0.125,0.726
2002,0.209,0.124,0.668
2003,0.168,0.139,0.693
2004,0.184,0.110,0.706
2005,0.165,0.126,0.709
2006,0.140,0.140,0.719
2007,0.229,0.127,0.645
2008,0.169,0.163,0.668
2009,0.160,0.137,0.702
2010,0.167,0.153,0.679
2011,0.155,0.126,0.718
2012,0.138,0.179,0.683
