year,new_fraction,chaperoned_fraction,established_fraction
1990,0.586,0.049,0.365
1991,0.495,0.062,0.443
1992,0.461,0.062,0.477
1993,0.540,0.058,0.402
1994,0.500,0.052,0.448
1995,0.555,0.042,0.402
1996,0.519,0.066,0.415
1997,0.564,0.047,0.388
1998,0.497,0.076,0.427
1999,0.497,0.062,0.441
2000,0.562,0.085,0.353
2001,0.585,0.075,0.339
2002,0.518,0.082,0.401
2003,0.518,0.051,0.430
2004,0.563,0.062,0.375
2005,0.486,0.099,0.415
2006,0.522,0.080,0.398
2007,0.549,0.075,0.376
2008,0.510,0.070,0.420
2009,0.511,0.063,0.426
2010,0.531,0.068,0.401
2011,0.552,0.087,0.361
2012,0.586,0.066,0.347
