year,new_fraction,chaperoned_fraction,established_fraction
1990,0.239,0.090,0.672
1991,0.248,0.064,0.688
1992,0.188,0.101,0.710
1993,0.203,0.076,0.722
1994,0.238,0.129,0.633
1995,0.264,0.042,0.694
1996,0.179,0.089,0.732
1997,0.234,0.070,0.695
1998,0.262,0.142,0.596
1999,0.283,0.158,0.558
2000,0.250,0.106,0.644
2001,0.295,0.093,0.612
2002,0.275,0.114,0.611
2003,0.303,0.099,0.599
2004,0.359,0.107,0.534
2005,0.374,0.095,0.531
2006,0.296,0.146,0.559
2007,0.378,0.138,0.485
2008,0.336,0.100,0.564
2009,0.254,0.132,0.615
2010,0.304,0.120,0.576
2011,0.370,0.111,0.519
2012,0.340,0.106,0.554
