year,new_fraction,chaperoned_fraction,established_fraction
1990,,,
1991,,,
1992,,,
1993,0.871,0.034,0.095
1994,0.678,0.075,0.248
1995,0.542,0.093,0.366
1996,0.463,0.118,0.420
1997,0.403,0.134,0.464
1998,0.414,0.128,0.457
1999,0.375,0.113,0.512
2000,0.305,0.128,0.567
2001,0.304,0.121,0.575
2002,0.289,0.112,0.599
2003,0.271,0.120,0.609
2004,0.275,0.109,0.616
2005,0.275,0.118,0.606
2006,0.296,0.117,0.587
2007,0.240,0.144,0.616
2008,0.237,0.121,0.643
2009,0.210,0.147,0.643
2010,0.183,0.149,0.668
2011,0.205,0.150,0.645
2012,0.165,0.128,0.707
