year,new_fraction,chaperoned_fraction,established_fraction
1990,0.496,0.154,0.350
1991,0.486,0.113,0.401
1992,0.484,0.095,0.421
1993,0.453,0.137,0.410
1994,0.423,0.154,0.423
1995,0.317,0.159,0.524
1996,0.507,0.097,0.396
1997,0.455,0.156,0.389
1998,0.455,0.077,0.468
1999,0.416,0.148,0.436
2000,0.452,0.129,0.419
2001,0.388,0.164,0.448
2002,0.350,0.104,0.546
2003,0.323,0.100,0.577
2004,0.325,0.162,0.513
2005,0.425,0.144,0.431
2006,0.393,0.109,0.497
2007,0.336,0.134,0.530
2008,0.414,0.118,0.468
2009,0.350,0.177,0.473
2010,0.373,0.132,0.495
2011,0.348,0.145,0.507
2012,0.331,0.162,0.508
