year,new_fraction,chaperoned_fraction,established_fraction
1990,0.240,0.107,0.653
1991,0.230,0.116,0.654
1992,0.255,0.097,0.648
1993,0.250,0.111,0.639
1994,0.238,0.110,0.653
1995,0.257,0.112,0.631
1996,0.244,0.106,0.650
1997,0.227,0.143,0.630
1998,0.227,0.116,0.657
1999,0.229,0.155,0.616
2000,0.274,0.075,0.651
2001,0.241,0.129,0.630
2002,0.221,0.127,0.651
2003,0.277,0.117,0.606
2004,0.231,0.155,0.614
2005,0.261,0.105,0.634
2006,0.237,0.148,0.615
2007,0.236,0.148,0.616
2008,0.271,0.132,0.597
2009,0.299,0.129,0.572
2010,0.268,0.150,0.583
2011,0.325,0.171,0.504
2012,0.299,0.155,0.546
