year,new_fraction,chaperoned_fraction,established_fraction
1990,0.359,0.107,0.534
1991,0.347,0.117,0.536
1992,0.379,0.111,0.510
1993,0.373,0.125,0.502
1994,0.402,0.127,0.471
1995,0.369,0.102,0.529
1996,0.311,0.127,0.562
1997,0.337,0.135,0.528
1998,0.293,0.162,0.546
1999,0.422,0.099,0.478
2000,0.414,0.099,0.486
2001,0.346,0.160,0.494
2002,0.338,0.187,0.475
2003,0.395,0.140,0.465
2004,0.382,0.105,0.513
2005,0.459,0.133,0.408
2006,0.464,0.163,0.373
2007,0.390,0.130,0.480
2008,0.410,0.143,0.447
2009,0.433,0.129,0.438
2010,0.496,0.145,0.360
2011,0.403,0.139,0.458
2012,0.463,0.128,0.409
