year,new_fraction,chaperoned_fraction,established_fraction
1990,,,
1991,0.825,0.044,0.131
1992,0.626,0.118,0.256
1993,0.598,0.101,0.302
1994,0.515,0.117,0.368
1995,0.476,0.159,0.365
1996,0.481,0.142,0.377
1997,0.490,0.152,0.359
1998,0.435,0.150,0.415
1999,0.414,0.169,0.417
2000,0.423,0.121,0.456
2001,0.344,0.153,0.503
2002,0.389,0.172,0.440
2003,0.339,0.143,0.519
2004,0.363,0.161,0.476
2005,0.361,0.171,0.468
2006,0.332,0.170,0.498
2007,0.331,0.201,0.468
2008,0.309,0.194,0.497
2009,0.293,0.182,0.526
2010,0.280,0.181,0.538
2011,0.245,0.203,0.552
2012,0.195,0.173,0.632
