year,new_fraction,chaperoned_fraction,established_fraction
1990,0.288,0.192,0.519
1991,0.325,0.199,0.476
1992,0.297,0.207,0.496
1993,0.282,0.203,0.515
1994,0.282,0.210,0.508
1995,0.264,0.221,0.515
1996,0.218,0.192,0.590
1997,0.222,0.210,0.568
1998,0.260,0.180,0.560
1999,0.255,0.188,0.558
2000,0.240,0.193,0.567
2001,0.258,0.194,0.548
2002,0.276,0.192,0.532
2003,0.230,0.207,0.563
2004,0.212,0.223,0.565
2005,0.232,0.224,0.544
2006,0.228,0.219,0.553
2007,0.209,0.204,0.587
2008,0.214,0.194,0.592
2009,0.226,0.220,0.555
2010,0.217,0.207,0.576
2011,0.221,0.221,0.557
2012,0.191,0.237,0.571
