year,new_fraction,chaperoned_fraction,established_fraction
1990,0.371,0.133,0.497
1991,0.288,0.157,0.555
1992,0.335,0.119,0.546
1993,0.385,0.119,0.496
1994,0.282,0.105,0.613
1995,0.392,0.127,0.480
1996,0.347,0.127,0.525
1997,0.268,0.124,0.608
1998,0.342,0.098,0.560
1999,0.319,0.128,0.553
2000,0.349,0.138,0.514
2001,0.289,0.139,0.572
2002,0.321,0.140,0.539
2003,0.347,0.131,0.522
2004,0.315,0.116,0.568
2005,0.329,0.134,0.537
2006,0.315,0.138,0.546
2007,0.255,0.179,0.566
2008,0.313,0.153,0.534
2009,0.290,0.160,0.550
2010,0.317,0.160,0.524
2011,0.393,0.160,0.447
2012,0.349,0.162,0.488
