year,new_fraction,chaperoned_fraction,established_fraction
1990,0.348,0.177,0.475
1991,0.431,0.178,0.391
1992,0.439,0.158,0.403
1993,0.391,0.127,0.482
1994,0.331,0.150,0.520
1995,0.427,0.110,0.463
1996,0.329,0.173,0.498
1997,0.323,0.132,0.545
1998,0.299,0.159,0.542
1999,0.271,0.163,0.566
2000,0.238,0.150,0.612
2001,0.149,0.121,0.730
2002,0.193,0.128,0.679
2003,0.204,0.152,0.644
2004,0.188,0.135,0.677
2005,0.195,0.148,0.657
2006,0.160,0.158,0.682
2007,0.161,0.136,0.703
2008,0.192,0.124,0.684
2009,0.182,0.142,0.675
2010,0.173,0.140,0.687
2011,0.202,0.145,0.653
2012,0.207,0.154,0.639
