year,new_fraction,chaperoned_fraction,established_fraction
1990,0.315,0.130,0.555
1991,0.277,0.136,0.587
1992,0.290,0.141,0.569
1993,0.281,0.123,0.596
1994,0.269,0.152,0.579
1995,0.280,0.147,0.573
1996,0.281,0.137,0.581
1997,0.255,0.136,0.609
1998,0.240,0.125,0.634
1999,0.241,0.132,0.627
2000,0.226,0.130,0.644
2001,0.209,0.131,0.661
2002,0.211,0.151,0.639
2003,0.202,0.127,0.671
2004,0.167,0.151,0.683
2005,0.180,0.147,0.673
2006,0.181,0.142,0.676
2007,0.171,0.146,0.683
2008,0.159,0.130,0.711
2009,0.145,0.148,0.707
2010,0.167,0.137,0.696
2011,0.142,0.147,0.711
2012,0.144,0.146,0.710
