year,new_fraction,chaperoned_fraction,established_fraction
1990,0.617,0.053,0.330
1991,0.619,0.095,0.286
1992,0.634,0.127,0.239
1993,0.600,0.129,0.271
1994,0.664,0.106,0.230
1995,0.614,0.092,0.294
1996,0.615,0.113,0.272
1997,0.537,0.140,0.322
1998,0.580,0.103,0.317
1999,0.491,0.152,0.357
2000,0.468,0.106,0.425
2001,0.407,0.144,0.450
2002,0.409,0.179,0.412
2003,0.399,0.117,0.484
2004,0.411,0.151,0.439
2005,0.357,0.153,0.490
2006,0.381,0.123,0.496
2007,0.365,0.112,0.524
2008,0.318,0.146,0.536
2009,0.336,0.136,0.528
2010,0.428,0.133,0.439
2011,0.374,0.146,0.480
2012,0.380,0.164,0.457
