year,new_fraction,chaperoned_fraction,established_fraction
1990,0.206,0.148,0.646
1991,0.212,0.138,0.650
1992,0.202,0.127,0.672
1993,0.203,0.126,0.671
1994,0.202,0.120,0.678
1995,0.193,0.133,0.674
1996,0.193,0.148,0.659
1997,0.180,0.131,0.689
1998,0.179,0.141,0.681
1999,0.155,0.130,0.715
2000,0.142,0.150,0.709
2001,0.145,0.138,0.717
2002,0.146,0.139,0.715
2003,0.138,0.137,0.725
2004,0.138,0.143,0.720
2005,0.121,0.133,0.745
2006,0.118,0.131,0.751
2007,0.098,0.129,0.772
2008,0.100,0.121,0.779
2009,0.083,0.134,0.783
2010,0.081,0.134,0.784
2011,0.081,0.130,0.789
2012,0.071,0.123,0.806
