year,new_fraction,chaperoned_fraction,established_fraction
1990,,,
1991,,,
1992,,,
1993,,,
1994,,,
1995,0.826,0.043,0.130
1996,0.889,0.037,0.074
1997,0.784,0.093,0.124
1998,0.635,0.153,0.212
1999,0.494,0.111,0.395
2000,0.531,0.146,0.323
2001,0.580,0.160,0.260
2002,0.475,0.142,0.383
2003,0.406,0.102,0.492
2004,0.413,0.160,0.427
2005,0.535,0.140,0.326
2006,0.516,0.178,0.307
2007,0.481,0.131,0.388
2008,0.491,0.072,0.437
2009,0.393,0.190,0.417
2010,0.370,0.168,0.461
2011,0.457,0.180,0.363
2012,0.429,0.161,0.410
