year,new_fraction,chaperoned_fraction,established_fraction
1990,0.447,0.138,0.415
1991,0.416,0.135,0.449
1992,0.418,0.134,0.447
1993,0.377,0.160,0.463
1994,0.346,0.137,0.517
1995,0.341,0.145,0.514
1996,0.346,0.147,0.507
1997,0.276,0.135,0.589
1998,0.277,0.135,0.588
1999,0.272,0.115,0.613
2000,0.247,0.118,0.635
2001,0.231,0.144,0.624
2002,0.230,0.148,0.622
2003,0.224,0.131,0.645
2004,0.226,0.136,0.638
2005,0.218,0.128,0.654
2006,0.204,0.155,0.642
2007,0.193,0.143,0.663
2008,0.201,0.166,0.633
2009,0.190,0.158,0.652
2010,0.190,0.147,0.663
2011,0.198,0.159,0.643
2012,0.170,0.165,0.664
