year,new_fraction,chaperoned_fraction,established_fraction
1990,0.225,0.121,0.655
1991,0.231,0.106,0.662
1992,0.216,0.113,0.671
1993,0.221,0.102,0.677
1994,0.174,0.133,0.692
1995,0.201,0.117,0.683
1996,0.196,0.111,0.693
1997,0.185,0.122,0.694
1998,0.171,0.145,0.684
1999,0.194,0.108,0.698
2000,0.162,0.120,0.718
2001,0.129,0.131,0.740
2002,0.158,0.128,0.714
2003,0.157,0.133,0.710
2004,0.151,0.138,0.711
2005,0.115,0.119,0.767
2006,0.123,0.109,0.768
2007,0.129,0.111,0.760
2008,0.105,0.111,0.784
2009,0.106,0.106,0.789
2010,0.108,0.131,0.761
2011,0.083,0.133,0.784
2012,0.096,0.119,0.785
