year,new_fraction,chaperoned_fraction,established_fraction
1990,0.603,0.106,0.291
1991,0.541,0.177,0.282
1992,0.486,0.148,0.366
1993,0.521,0.146,0.333
1994,0.516,0.119,0.365
1995,0.533,0.138,0.329
1996,0.475,0.131,0.394
1997,0.549,0.142,0.309
1998,0.447,0.118,0.435
1999,0.469,0.131,0.400
2000,0.441,0.122,0.436
2001,0.400,0.194,0.406
2002,0.481,0.143,0.377
2003,0.386,0.135,0.480
2004,0.480,0.111,0.409
2005,0.505,0.112,0.383
2006,0.395,0.168,0.437
2007,0.391,0.164,0.444
2008,0.429,0.171,0.400
2009,0.387,0.140,0.473
2010,0.352,0.160,0.488
2011,0.364,0.196,0.441
2012,0.354,0.134,0.512
