year,new_fraction,chaperoned_fraction,established_fraction
1990,0.342,0.103,0.556
1991,0.261,0.123,0.616
1992,0.313,0.103,0.584
1993,0.273,0.125,0.603
1994,0.263,0.143,0.594
1995,0.259,0.113,0.628
1996,0.300,0.120,0.580
1997,0.282,0.153,0.564
1998,0.315,0.137,0.548
1999,0.294,0.100,0.606
2000,0.302,0.090,0.608
2001,0.248,0.097,0.655
2002,0.347,0.124,0.529
2003,0.346,0.113,0.541
2004,0.370,0.118,0.512
2005,0.315,0.136,0.550
2006,0.316,0.155,0.529
2007,0.385,0.112,0.504
2008,0.328,0.164,0.508
2009,0.293,0.133,0.574
2010,0.281,0.144,0.575
2011,0.310,0.150,0.540
2012,0.341,0.099,0.560
