year,new_fraction,chaperoned_fraction,established_fraction
1990,0.238,0.128,0.634
1991,0.265,0.150,0.585
1992,0.237,0.126,0.636
1993,0.214,0.145,0.641
1994,0.200,0.135,0.664
1995,0.185,0.136,0.679
1996,0.185,0.114,0.701
1997,0.153,0.134,0.713
1998,0.185,0.104,0.711
1999,0.137,0.118,0.745
2000,0.145,0.125,0.730
2001,0.126,0.126,0.748
2002,0.131,0.104,0.765
2003,0.144,0.120,0.737
2004,0.147,0.089,0.763
2005,0.119,0.114,0.767
2006,0.129,0.115,0.757
2007,0.132,0.125,0.743
2008,0.115,0.116,0.768
2009,0.094,0.117,0.790
2010,0.081,0.101,0.818
2011,0.103,0.122,0.775
2012,0.110,0.116,0.774
