year,new_fraction,chaperoned_fraction,established_fraction
1990,0.420,0.131,0.449
1991,0.421,0.138,0.441
1992,0.390,0.138,0.473
1993,0.336,0.132,0.532
1994,0.384,0.133,0.482
1995,0.327,0.128,0.545
1996,0.305,0.153,0.542
1997,0.265,0.150,0.585
1998,0.321,0.145,0.534
1999,0.312,0.166,0.522
2000,0.323,0.156,0.520
2001,0.300,0.155,0.545
2002,0.287,0.170,0.543
2003,0.254,0.143,0.603
2004,0.274,0.159,0.567
2005,0.253,0.167,0.580
2006,0.229,0.137,0.635
2007,0.227,0.172,0.600
2008,0.224,0.155,0.621
2009,0.226,0.166,0.608
2010,0.244,0.181,0.575
2011,0.193,0.204,0.603
2012,0.230,0.163,0.606
