year,new_fraction,chaperoned_fraction,established_fraction
1990,0.857,0.045,0.098
1991,0.822,0.055,0.123
1992,0.714,0.143,0.143
1993,0.885,0.038,0.077
1994,0.864,0.136,0.000
1995,0.880,0.080,0.040
1996,0.721,0.079,0.200
1997,0.587,0.073,0.340
1998,0.525,0.119,0.356
1999,0.497,0.099,0.404
2000,0.441,0.107,0.451
2001,0.439,0.127,0.434
2002,0.418,0.114,0.469
2003,0.441,0.112,0.448
2004,0.423,0.142,0.435
2005,0.406,0.149,0.446
2006,0.354,0.139,0.508
2007,0.318,0.140,0.541
2008,0.287,0.128,0.585
2009,0.270,0.135,0.594
2010,0.314,0.129,0.557
2011,0.273,0.173,0.554
2012,0.281,0.162,0.557
