year,new_fraction,chaperoned_fraction,established_fraction
1990,0.519,0.122,0.359
1991,0.520,0.084,0.396
1992,0.512,0.143,0.345
1993,0.529,0.125,0.346
1994,0.490,0.107,0.403
1995,0.457,0.121,0.422
1996,0.476,0.146,0.378
1997,0.479,0.123,0.397
1998,0.482,0.142,0.377
1999,0.442,0.129,0.429
2000,0.480,0.141,0.379
2001,0.459,0.119,0.421
2002,0.472,0.136,0.391
2003,0.469,0.157,0.373
2004,0.437,0.140,0.423
2005,0.384,0.145,0.471
2006,0.355,0.143,0.502
2007,0.344,0.166,0.490
2008,0.349,0.147,0.504
2009,0.342,0.142,0.516
2010,0.343,0.153,0.505
2011,0.342,0.165,0.493
2012,0.299,0.159,0.542
