year,new_fraction,chaperoned_fraction,established_fraction
1990,0.271,0.107,0.622
1991,0.257,0.127,0.616
1992,0.256,0.130,0.614
1993,0.261,0.125,0.614
1994,0.254,0.120,0.626
1995,0.234,0.123,0.643
1996,0.230,0.110,0.660
1997,0.221,0.124,0.655
1998,0.223,0.127,0.650
1999,0.205,0.118,0.677
2000,0.185,0.138,0.677
2001,0.203,0.128,0.668
2002,0.217,0.118,0.665
2003,0.204,0.124,0.672
2004,0.208,0.143,0.649
2005,0.201,0.131,0.667
2006,0.183,0.139,0.678
2007,0.188,0.141,0.671
2008,0.186,0.137,0.678
2009,0.173,0.146,0.681
2010,0.182,0.147,0.671
2011,0.167,0.155,0.679
2012,0.173,0.162,0.666
